filename,class_name
12983.jpg,No-Anomaly
19273.jpg,No-Anomaly
12233.jpg,No-Anomaly
1239.jpg,Diode
14197.jpg,No-Anomaly
359.jpg,Offline-Module
8570.jpg,Vegetation
12366.jpg,No-Anomaly
2397.jpg,Diode
1885.jpg,Diode
9677.jpg,Vegetation
650.jpg,Offline-Module
9086.jpg,Vegetation
3637.jpg,Cell-Multi
16332.jpg,No-Anomaly
685.jpg,Offline-Module
15038.jpg,No-Anomaly
1150.jpg,Diode
11092.jpg,No-Anomaly
19620.jpg,No-Anomaly
12769.jpg,No-Anomaly
3567.jpg,Cell-Multi
18087.jpg,No-Anomaly
4796.jpg,Cell-Multi
15933.jpg,No-Anomaly
7523.jpg,Cracking
18871.jpg,No-Anomaly
18959.jpg,No-Anomaly
467.jpg,Offline-Module
3153.jpg,Shadowing
9493.jpg,Vegetation
15314.jpg,No-Anomaly
7052.jpg,Cracking
15855.jpg,No-Anomaly
9917.jpg,Vegetation
11576.jpg,No-Anomaly
2496.jpg,Diode
3604.jpg,Cell-Multi
16612.jpg,No-Anomaly
7638.jpg,Cracking
2726.jpg,Shadowing
13637.jpg,No-Anomaly
11391.jpg,No-Anomaly
19108.jpg,No-Anomaly
1786.jpg,Diode
1585.jpg,Diode
9269.jpg,Vegetation
6463.jpg,Cell
9872.jpg,Vegetation
401.jpg,Offline-Module
3006.jpg,Shadowing
10830.jpg,No-Anomaly
1580.jpg,Diode
9036.jpg,Vegetation
14225.jpg,No-Anomaly
16436.jpg,No-Anomaly
9914.jpg,Vegetation
9600.jpg,Vegetation
15308.jpg,No-Anomaly
1053.jpg,Diode
11090.jpg,No-Anomaly
1008.jpg,Diode
18526.jpg,No-Anomaly
17952.jpg,No-Anomaly
12467.jpg,No-Anomaly
7917.jpg,Hot-Spot-Multi
18804.jpg,No-Anomaly
7864.jpg,Cracking
1959.jpg,Diode
6300.jpg,Cell
1185.jpg,Diode
12454.jpg,No-Anomaly
18647.jpg,No-Anomaly
9577.jpg,Vegetation
13644.jpg,No-Anomaly
15918.jpg,No-Anomaly
19112.jpg,No-Anomaly
4853.jpg,Cell
9857.jpg,Vegetation
17070.jpg,No-Anomaly
13795.jpg,No-Anomaly
3801.jpg,Cell-Multi
2196.jpg,Diode
13167.jpg,No-Anomaly
2560.jpg,Shadowing
1907.jpg,Diode
8423.jpg,Vegetation
11171.jpg,No-Anomaly
15097.jpg,No-Anomaly
17612.jpg,No-Anomaly
6185.jpg,Cell
12228.jpg,No-Anomaly
15809.jpg,No-Anomaly
11738.jpg,No-Anomaly
17815.jpg,No-Anomaly
17977.jpg,No-Anomaly
18863.jpg,No-Anomaly
18345.jpg,No-Anomaly
15982.jpg,No-Anomaly
3126.jpg,Shadowing
7909.jpg,Cracking
10166.jpg,No-Anomaly
15908.jpg,No-Anomaly
11657.jpg,No-Anomaly
3383.jpg,Shadowing
265.jpg,Offline-Module
550.jpg,Offline-Module
12086.jpg,No-Anomaly
7299.jpg,Cracking
7591.jpg,Cracking
10033.jpg,No-Anomaly
9758.jpg,Vegetation
9907.jpg,Vegetation
16093.jpg,No-Anomaly
19286.jpg,No-Anomaly
10484.jpg,No-Anomaly
14383.jpg,No-Anomaly
11036.jpg,No-Anomaly
13603.jpg,No-Anomaly
12910.jpg,No-Anomaly
540.jpg,Offline-Module
15471.jpg,No-Anomaly
16641.jpg,No-Anomaly
12568.jpg,No-Anomaly
7916.jpg,Hot-Spot-Multi
18286.jpg,No-Anomaly
3023.jpg,Shadowing
15307.jpg,No-Anomaly
8752.jpg,Vegetation
4297.jpg,Cell-Multi
8090.jpg,Hot-Spot-Multi
13275.jpg,No-Anomaly
12456.jpg,No-Anomaly
203.jpg,Offline-Module
5589.jpg,Cell
1951.jpg,Diode
6712.jpg,Cell
17117.jpg,No-Anomaly
12712.jpg,No-Anomaly
12206.jpg,No-Anomaly
15403.jpg,No-Anomaly
4944.jpg,Cell
11100.jpg,No-Anomaly
14752.jpg,No-Anomaly
11173.jpg,No-Anomaly
4082.jpg,Cell-Multi
2576.jpg,Shadowing
5978.jpg,Cell
13681.jpg,No-Anomaly
17636.jpg,No-Anomaly
12201.jpg,No-Anomaly
18630.jpg,No-Anomaly
9813.jpg,Vegetation
15346.jpg,No-Anomaly
5297.jpg,Cell
1030.jpg,Diode
14558.jpg,No-Anomaly
2495.jpg,Diode
15285.jpg,No-Anomaly
6777.jpg,Hot-Spot
16809.jpg,No-Anomaly
7833.jpg,Cracking
3019.jpg,Shadowing
14310.jpg,No-Anomaly
15370.jpg,No-Anomaly
17087.jpg,No-Anomaly
12540.jpg,No-Anomaly
5578.jpg,Cell
10897.jpg,No-Anomaly
19919.jpg,No-Anomaly
15179.jpg,No-Anomaly
16303.jpg,No-Anomaly
13320.jpg,No-Anomaly
4673.jpg,Cell-Multi
8958.jpg,Vegetation
3576.jpg,Cell-Multi
7723.jpg,Cracking
10672.jpg,No-Anomaly
1684.jpg,Diode
4470.jpg,Cell-Multi
19267.jpg,No-Anomaly
1385.jpg,Diode
1422.jpg,Diode
12909.jpg,No-Anomaly
4699.jpg,Cell-Multi
6170.jpg,Cell
14202.jpg,No-Anomaly
9133.jpg,Vegetation
2856.jpg,Shadowing
16055.jpg,No-Anomaly
14243.jpg,No-Anomaly
5928.jpg,Cell
19116.jpg,No-Anomaly
10967.jpg,No-Anomaly
15.jpg,Offline-Module
17041.jpg,No-Anomaly
19887.jpg,No-Anomaly
1292.jpg,Diode
19231.jpg,No-Anomaly
7334.jpg,Cracking
11062.jpg,No-Anomaly
220.jpg,Offline-Module
19857.jpg,No-Anomaly
1934.jpg,Diode
11577.jpg,No-Anomaly
19741.jpg,No-Anomaly
12247.jpg,No-Anomaly
12880.jpg,No-Anomaly
2140.jpg,Diode
11562.jpg,No-Anomaly
9367.jpg,Vegetation
2465.jpg,Diode
1082.jpg,Diode
5420.jpg,Cell
15747.jpg,No-Anomaly
11075.jpg,No-Anomaly
12409.jpg,No-Anomaly
940.jpg,Diode-Multi
8062.jpg,Hot-Spot-Multi
17275.jpg,No-Anomaly
11221.jpg,No-Anomaly
16248.jpg,No-Anomaly
3115.jpg,Shadowing
6279.jpg,Cell
16665.jpg,No-Anomaly
4591.jpg,Cell-Multi
12645.jpg,No-Anomaly
12173.jpg,No-Anomaly
17668.jpg,No-Anomaly
6472.jpg,Cell
13246.jpg,No-Anomaly
14592.jpg,No-Anomaly
7463.jpg,Cracking
15005.jpg,No-Anomaly
10730.jpg,No-Anomaly
7282.jpg,Cracking
1759.jpg,Diode
4646.jpg,Cell-Multi
9759.jpg,Vegetation
13457.jpg,No-Anomaly
4033.jpg,Cell-Multi
15519.jpg,No-Anomaly
15092.jpg,No-Anomaly
16083.jpg,No-Anomaly
3252.jpg,Shadowing
6781.jpg,Hot-Spot
17086.jpg,No-Anomaly
8656.jpg,Vegetation
1553.jpg,Diode
12324.jpg,No-Anomaly
3653.jpg,Cell-Multi
16115.jpg,No-Anomaly
215.jpg,Offline-Module
12172.jpg,No-Anomaly
13449.jpg,No-Anomaly
11197.jpg,No-Anomaly
3687.jpg,Cell-Multi
19331.jpg,No-Anomaly
14234.jpg,No-Anomaly
10972.jpg,No-Anomaly
6597.jpg,Cell
19355.jpg,No-Anomaly
15823.jpg,No-Anomaly
11104.jpg,No-Anomaly
12719.jpg,No-Anomaly
19243.jpg,No-Anomaly
11365.jpg,No-Anomaly
1613.jpg,Diode
13997.jpg,No-Anomaly
7704.jpg,Cracking
13523.jpg,No-Anomaly
3784.jpg,Cell-Multi
5023.jpg,Cell
16325.jpg,No-Anomaly
801.jpg,Offline-Module
1812.jpg,Diode
12148.jpg,No-Anomaly
1508.jpg,Diode
10872.jpg,No-Anomaly
4117.jpg,Cell-Multi
1723.jpg,Diode
13282.jpg,No-Anomaly
2438.jpg,Diode
7562.jpg,Cracking
16575.jpg,No-Anomaly
19573.jpg,No-Anomaly
1974.jpg,Diode
12230.jpg,No-Anomaly
15469.jpg,No-Anomaly
7661.jpg,Cracking
1063.jpg,Diode
8640.jpg,Vegetation
11997.jpg,No-Anomaly
12249.jpg,No-Anomaly
10960.jpg,No-Anomaly
19491.jpg,No-Anomaly
10157.jpg,No-Anomaly
3213.jpg,Shadowing
5039.jpg,Cell
9006.jpg,Vegetation
10047.jpg,No-Anomaly
8180.jpg,Soiling
1643.jpg,Diode
12178.jpg,No-Anomaly
16254.jpg,No-Anomaly
8059.jpg,Hot-Spot-Multi
499.jpg,Offline-Module
8821.jpg,Vegetation
16656.jpg,No-Anomaly
6081.jpg,Cell
322.jpg,Offline-Module
17954.jpg,No-Anomaly
16823.jpg,No-Anomaly
17184.jpg,No-Anomaly
13740.jpg,No-Anomaly
15644.jpg,No-Anomaly
607.jpg,Offline-Module
1494.jpg,Diode
13608.jpg,No-Anomaly
14083.jpg,No-Anomaly
8599.jpg,Vegetation
5012.jpg,Cell
2092.jpg,Diode
1469.jpg,Diode
16839.jpg,No-Anomaly
1011.jpg,Diode
7274.jpg,Cracking
528.jpg,Offline-Module
2250.jpg,Diode
1586.jpg,Diode
8962.jpg,Vegetation
7132.jpg,Cracking
15838.jpg,No-Anomaly
18394.jpg,No-Anomaly
5759.jpg,Cell
12759.jpg,No-Anomaly
8312.jpg,Soiling
9913.jpg,Vegetation
7149.jpg,Cracking
12684.jpg,No-Anomaly
1174.jpg,Diode
3924.jpg,Cell-Multi
17458.jpg,No-Anomaly
5344.jpg,Cell
8038.jpg,Hot-Spot-Multi
5787.jpg,Cell
16635.jpg,No-Anomaly
11009.jpg,No-Anomaly
16924.jpg,No-Anomaly
19786.jpg,No-Anomaly
14406.jpg,No-Anomaly
10178.jpg,No-Anomaly
2276.jpg,Diode
18878.jpg,No-Anomaly
17797.jpg,No-Anomaly
19465.jpg,No-Anomaly
2976.jpg,Shadowing
7735.jpg,Cracking
13511.jpg,No-Anomaly
2052.jpg,Diode
19249.jpg,No-Anomaly
15633.jpg,No-Anomaly
13744.jpg,No-Anomaly
18396.jpg,No-Anomaly
13586.jpg,No-Anomaly
13771.jpg,No-Anomaly
18796.jpg,No-Anomaly
12132.jpg,No-Anomaly
14950.jpg,No-Anomaly
6585.jpg,Cell
3609.jpg,Cell-Multi
3826.jpg,Cell-Multi
8955.jpg,Vegetation
9789.jpg,Vegetation
17679.jpg,No-Anomaly
16729.jpg,No-Anomaly
18624.jpg,No-Anomaly
16113.jpg,No-Anomaly
4412.jpg,Cell-Multi
481.jpg,Offline-Module
14642.jpg,No-Anomaly
5303.jpg,Cell
16333.jpg,No-Anomaly
15717.jpg,No-Anomaly
16722.jpg,No-Anomaly
1355.jpg,Diode
15974.jpg,No-Anomaly
14799.jpg,No-Anomaly
14548.jpg,No-Anomaly
12948.jpg,No-Anomaly
10538.jpg,No-Anomaly
13507.jpg,No-Anomaly
5859.jpg,Cell
1808.jpg,Diode
11.jpg,Offline-Module
9327.jpg,Vegetation
7504.jpg,Cracking
5555.jpg,Cell
15656.jpg,No-Anomaly
6501.jpg,Cell
2960.jpg,Shadowing
6219.jpg,Cell
17343.jpg,No-Anomaly
4064.jpg,Cell-Multi
11816.jpg,No-Anomaly
19951.jpg,No-Anomaly
7140.jpg,Cracking
8854.jpg,Vegetation
5806.jpg,Cell
3723.jpg,Cell-Multi
14077.jpg,No-Anomaly
14803.jpg,No-Anomaly
5779.jpg,Cell
3163.jpg,Shadowing
17500.jpg,No-Anomaly
9630.jpg,Vegetation
9607.jpg,Vegetation
11436.jpg,No-Anomaly
176.jpg,Offline-Module
92.jpg,Offline-Module
6311.jpg,Cell
6485.jpg,Cell
720.jpg,Offline-Module
4690.jpg,Cell-Multi
15688.jpg,No-Anomaly
7816.jpg,Cracking
13547.jpg,No-Anomaly
371.jpg,Offline-Module
2975.jpg,Shadowing
19538.jpg,No-Anomaly
18964.jpg,No-Anomaly
391.jpg,Offline-Module
15372.jpg,No-Anomaly
18575.jpg,No-Anomaly
16566.jpg,No-Anomaly
11594.jpg,No-Anomaly
5650.jpg,Cell
5001.jpg,Cell
2312.jpg,Diode
4832.jpg,Cell-Multi
7364.jpg,Cracking
6866.jpg,Hot-Spot
13252.jpg,No-Anomaly
9543.jpg,Vegetation
14815.jpg,No-Anomaly
17965.jpg,No-Anomaly
1739.jpg,Diode
17164.jpg,No-Anomaly
12815.jpg,No-Anomaly
1848.jpg,Diode
6154.jpg,Cell
12347.jpg,No-Anomaly
19824.jpg,No-Anomaly
15833.jpg,No-Anomaly
11495.jpg,No-Anomaly
18577.jpg,No-Anomaly
19999.jpg,No-Anomaly
1412.jpg,Diode
11987.jpg,No-Anomaly
14107.jpg,No-Anomaly
13898.jpg,No-Anomaly
2107.jpg,Diode
6405.jpg,Cell
56.jpg,Offline-Module
14305.jpg,No-Anomaly
15017.jpg,No-Anomaly
16096.jpg,No-Anomaly
16673.jpg,No-Anomaly
3480.jpg,Shadowing
3587.jpg,Cell-Multi
10272.jpg,No-Anomaly
3160.jpg,Shadowing
6076.jpg,Cell
8156.jpg,Hot-Spot-Multi
18766.jpg,No-Anomaly
11551.jpg,No-Anomaly
7855.jpg,Cracking
9368.jpg,Vegetation
18905.jpg,No-Anomaly
15505.jpg,No-Anomaly
7616.jpg,Cracking
14881.jpg,No-Anomaly
1144.jpg,Diode
316.jpg,Offline-Module
9987.jpg,Vegetation
17336.jpg,No-Anomaly
19598.jpg,No-Anomaly
17407.jpg,No-Anomaly
1092.jpg,Diode
3568.jpg,Cell-Multi
5231.jpg,Cell
10605.jpg,No-Anomaly
564.jpg,Offline-Module
12035.jpg,No-Anomaly
10010.jpg,No-Anomaly
4174.jpg,Cell-Multi
10002.jpg,No-Anomaly
18321.jpg,No-Anomaly
15715.jpg,No-Anomaly
15728.jpg,No-Anomaly
4882.jpg,Cell
6451.jpg,Cell
19265.jpg,No-Anomaly
17414.jpg,No-Anomaly
16739.jpg,No-Anomaly
1989.jpg,Diode
5868.jpg,Cell
8395.jpg,Vegetation
9152.jpg,Vegetation
2662.jpg,Shadowing
14832.jpg,No-Anomaly
13170.jpg,No-Anomaly
11648.jpg,No-Anomaly
11669.jpg,No-Anomaly
2279.jpg,Diode
6192.jpg,Cell
13169.jpg,No-Anomaly
9638.jpg,Vegetation
864.jpg,Diode-Multi
6733.jpg,Hot-Spot
11862.jpg,No-Anomaly
8223.jpg,Soiling
17927.jpg,No-Anomaly
9374.jpg,Vegetation
16320.jpg,No-Anomaly
2936.jpg,Shadowing
9592.jpg,Vegetation
18017.jpg,No-Anomaly
18844.jpg,No-Anomaly
8558.jpg,Vegetation
11390.jpg,No-Anomaly
2255.jpg,Diode
16642.jpg,No-Anomaly
4787.jpg,Cell-Multi
15324.jpg,No-Anomaly
175.jpg,Offline-Module
15808.jpg,No-Anomaly
12027.jpg,No-Anomaly
13461.jpg,No-Anomaly
8295.jpg,Soiling
9168.jpg,Vegetation
19827.jpg,No-Anomaly
13371.jpg,No-Anomaly
2410.jpg,Diode
4422.jpg,Cell-Multi
10571.jpg,No-Anomaly
7763.jpg,Cracking
11709.jpg,No-Anomaly
11940.jpg,No-Anomaly
16099.jpg,No-Anomaly
6109.jpg,Cell
4077.jpg,Cell-Multi
15616.jpg,No-Anomaly
5540.jpg,Cell
296.jpg,Offline-Module
16462.jpg,No-Anomaly
1207.jpg,Diode
9635.jpg,Vegetation
11913.jpg,No-Anomaly
11668.jpg,No-Anomaly
19500.jpg,No-Anomaly
4976.jpg,Cell
4532.jpg,Cell-Multi
2593.jpg,Shadowing
9688.jpg,Vegetation
349.jpg,Offline-Module
14045.jpg,No-Anomaly
18469.jpg,No-Anomaly
5920.jpg,Cell
6027.jpg,Cell
18976.jpg,No-Anomaly
18036.jpg,No-Anomaly
14176.jpg,No-Anomaly
19529.jpg,No-Anomaly
8144.jpg,Hot-Spot-Multi
17793.jpg,No-Anomaly
9452.jpg,Vegetation
5576.jpg,Cell
5675.jpg,Cell
291.jpg,Offline-Module
12841.jpg,No-Anomaly
19291.jpg,No-Anomaly
8282.jpg,Soiling
295.jpg,Offline-Module
7393.jpg,Cracking
19629.jpg,No-Anomaly
19205.jpg,No-Anomaly
16721.jpg,No-Anomaly
18095.jpg,No-Anomaly
17341.jpg,No-Anomaly
12850.jpg,No-Anomaly
7695.jpg,Cracking
10078.jpg,No-Anomaly
17692.jpg,No-Anomaly
13368.jpg,No-Anomaly
9798.jpg,Vegetation
8795.jpg,Vegetation
17916.jpg,No-Anomaly
18391.jpg,No-Anomaly
17725.jpg,No-Anomaly
12493.jpg,No-Anomaly
7002.jpg,Cracking
18393.jpg,No-Anomaly
19276.jpg,No-Anomaly
1557.jpg,Diode
12325.jpg,No-Anomaly
2636.jpg,Shadowing
14361.jpg,No-Anomaly
597.jpg,Offline-Module
19848.jpg,No-Anomaly
10525.jpg,No-Anomaly
4701.jpg,Cell-Multi
17743.jpg,No-Anomaly
3280.jpg,Shadowing
10388.jpg,No-Anomaly
5082.jpg,Cell
1025.jpg,Diode
4925.jpg,Cell
4691.jpg,Cell-Multi
18805.jpg,No-Anomaly
6009.jpg,Cell
14808.jpg,No-Anomaly
10327.jpg,No-Anomaly
13029.jpg,No-Anomaly
10868.jpg,No-Anomaly
7290.jpg,Cracking
13600.jpg,No-Anomaly
263.jpg,Offline-Module
14161.jpg,No-Anomaly
11869.jpg,No-Anomaly
11307.jpg,No-Anomaly
387.jpg,Offline-Module
13807.jpg,No-Anomaly
1313.jpg,Diode
9440.jpg,Vegetation
4127.jpg,Cell-Multi
19677.jpg,No-Anomaly
6801.jpg,Hot-Spot
1635.jpg,Diode
19787.jpg,No-Anomaly
4604.jpg,Cell-Multi
8775.jpg,Vegetation
1086.jpg,Diode
8108.jpg,Hot-Spot-Multi
16967.jpg,No-Anomaly
15322.jpg,No-Anomaly
18588.jpg,No-Anomaly
12234.jpg,No-Anomaly
4378.jpg,Cell-Multi
6250.jpg,Cell
6837.jpg,Hot-Spot
9200.jpg,Vegetation
146.jpg,Offline-Module
18174.jpg,No-Anomaly
9775.jpg,Vegetation
5531.jpg,Cell
1544.jpg,Diode
8935.jpg,Vegetation
3892.jpg,Cell-Multi
7071.jpg,Cracking
14210.jpg,No-Anomaly
11024.jpg,No-Anomaly
19647.jpg,No-Anomaly
3070.jpg,Shadowing
13660.jpg,No-Anomaly
14910.jpg,No-Anomaly
5666.jpg,Cell
6550.jpg,Cell
13712.jpg,No-Anomaly
9911.jpg,Vegetation
10942.jpg,No-Anomaly
17132.jpg,No-Anomaly
6372.jpg,Cell
11156.jpg,No-Anomaly
16373.jpg,No-Anomaly
5718.jpg,Cell
18438.jpg,No-Anomaly
17238.jpg,No-Anomaly
2259.jpg,Diode
12386.jpg,No-Anomaly
9268.jpg,Vegetation
6608.jpg,Cell
12667.jpg,No-Anomaly
16058.jpg,No-Anomaly
17.jpg,Offline-Module
7043.jpg,Cracking
5947.jpg,Cell
16899.jpg,No-Anomaly
3442.jpg,Shadowing
4104.jpg,Cell-Multi
18553.jpg,No-Anomaly
6634.jpg,Cell
5350.jpg,Cell
14304.jpg,No-Anomaly
17638.jpg,No-Anomaly
17833.jpg,No-Anomaly
11122.jpg,No-Anomaly
16070.jpg,No-Anomaly
15991.jpg,No-Anomaly
19975.jpg,No-Anomaly
6169.jpg,Cell
5281.jpg,Cell
19298.jpg,No-Anomaly
12186.jpg,No-Anomaly
4795.jpg,Cell-Multi
11820.jpg,No-Anomaly
15336.jpg,No-Anomaly
4310.jpg,Cell-Multi
7307.jpg,Cracking
17463.jpg,No-Anomaly
12046.jpg,No-Anomaly
1745.jpg,Diode
18101.jpg,No-Anomaly
17937.jpg,No-Anomaly
16708.jpg,No-Anomaly
19792.jpg,No-Anomaly
8198.jpg,Soiling
17142.jpg,No-Anomaly
3940.jpg,Cell-Multi
8891.jpg,Vegetation
3410.jpg,Shadowing
13455.jpg,No-Anomaly
9792.jpg,Vegetation
10102.jpg,No-Anomaly
1743.jpg,Diode
6103.jpg,Cell
14970.jpg,No-Anomaly
11287.jpg,No-Anomaly
18078.jpg,No-Anomaly
11688.jpg,No-Anomaly
14126.jpg,No-Anomaly
5624.jpg,Cell
13656.jpg,No-Anomaly
10191.jpg,No-Anomaly
9465.jpg,Vegetation
7161.jpg,Cracking
7622.jpg,Cracking
792.jpg,Offline-Module
6220.jpg,Cell
16662.jpg,No-Anomaly
10181.jpg,No-Anomaly
2486.jpg,Diode
11470.jpg,No-Anomaly
5048.jpg,Cell
2894.jpg,Shadowing
6226.jpg,Cell
2964.jpg,Shadowing
2788.jpg,Shadowing
10780.jpg,No-Anomaly
12705.jpg,No-Anomaly
1518.jpg,Diode
14146.jpg,No-Anomaly
186.jpg,Offline-Module
11455.jpg,No-Anomaly
4115.jpg,Cell-Multi
15226.jpg,No-Anomaly
5646.jpg,Cell
5893.jpg,Cell
18515.jpg,No-Anomaly
2078.jpg,Diode
11352.jpg,No-Anomaly
13068.jpg,No-Anomaly
8735.jpg,Vegetation
18311.jpg,No-Anomaly
12533.jpg,No-Anomaly
17454.jpg,No-Anomaly
1828.jpg,Diode
14647.jpg,No-Anomaly
3562.jpg,Cell-Multi
9802.jpg,Vegetation
17462.jpg,No-Anomaly
7003.jpg,Cracking
71.jpg,Offline-Module
10539.jpg,No-Anomaly
19594.jpg,No-Anomaly
3418.jpg,Shadowing
1831.jpg,Diode
19601.jpg,No-Anomaly
12611.jpg,No-Anomaly
17235.jpg,No-Anomaly
4040.jpg,Cell-Multi
3828.jpg,Cell-Multi
17700.jpg,No-Anomaly
14318.jpg,No-Anomaly
8005.jpg,Hot-Spot-Multi
7042.jpg,Cracking
17016.jpg,No-Anomaly
6163.jpg,Cell
2361.jpg,Diode
10242.jpg,No-Anomaly
9292.jpg,Vegetation
6489.jpg,Cell
1267.jpg,Diode
9370.jpg,Vegetation
9672.jpg,Vegetation
19618.jpg,No-Anomaly
18426.jpg,No-Anomaly
13412.jpg,No-Anomaly
3029.jpg,Shadowing
6132.jpg,Cell
15291.jpg,No-Anomaly
5842.jpg,Cell
9698.jpg,Vegetation
11637.jpg,No-Anomaly
9098.jpg,Vegetation
12917.jpg,No-Anomaly
10042.jpg,No-Anomaly
16876.jpg,No-Anomaly
18547.jpg,No-Anomaly
7356.jpg,Cracking
5857.jpg,Cell
4614.jpg,Cell-Multi
5783.jpg,Cell
1161.jpg,Diode
5939.jpg,Cell
17924.jpg,No-Anomaly
14065.jpg,No-Anomaly
2293.jpg,Diode
6232.jpg,Cell
11496.jpg,No-Anomaly
7229.jpg,Cracking
14333.jpg,No-Anomaly
14166.jpg,No-Anomaly
12930.jpg,No-Anomaly
7905.jpg,Cracking
8597.jpg,Vegetation
14105.jpg,No-Anomaly
7817.jpg,Cracking
11595.jpg,No-Anomaly
7197.jpg,Cracking
5318.jpg,Cell
1806.jpg,Diode
11515.jpg,No-Anomaly
6065.jpg,Cell
6869.jpg,Hot-Spot
16456.jpg,No-Anomaly
1282.jpg,Diode
9569.jpg,Vegetation
5663.jpg,Cell
11423.jpg,No-Anomaly
8019.jpg,Hot-Spot-Multi
12824.jpg,No-Anomaly
16471.jpg,No-Anomaly
15007.jpg,No-Anomaly
12915.jpg,No-Anomaly
19040.jpg,No-Anomaly
4458.jpg,Cell-Multi
9428.jpg,Vegetation
724.jpg,Offline-Module
2019.jpg,Diode
14574.jpg,No-Anomaly
17882.jpg,No-Anomaly
10739.jpg,No-Anomaly
13266.jpg,No-Anomaly
2686.jpg,Shadowing
4824.jpg,Cell-Multi
18018.jpg,No-Anomaly
11684.jpg,No-Anomaly
14730.jpg,No-Anomaly
11071.jpg,No-Anomaly
6443.jpg,Cell
13770.jpg,No-Anomaly
12508.jpg,No-Anomaly
4650.jpg,Cell-Multi
13465.jpg,No-Anomaly
13680.jpg,No-Anomaly
7097.jpg,Cracking
17505.jpg,No-Anomaly
2924.jpg,Shadowing
12995.jpg,No-Anomaly
13789.jpg,No-Anomaly
7544.jpg,Cracking
7764.jpg,Cracking
6193.jpg,Cell
5169.jpg,Cell
6305.jpg,Cell
8041.jpg,Hot-Spot-Multi
11797.jpg,No-Anomaly
10092.jpg,No-Anomaly
19011.jpg,No-Anomaly
6874.jpg,Hot-Spot
178.jpg,Offline-Module
2943.jpg,Shadowing
12588.jpg,No-Anomaly
10678.jpg,No-Anomaly
9737.jpg,Vegetation
10687.jpg,No-Anomaly
10955.jpg,No-Anomaly
19283.jpg,No-Anomaly
18929.jpg,No-Anomaly
4779.jpg,Cell-Multi
9262.jpg,Vegetation
1111.jpg,Diode
13546.jpg,No-Anomaly
17640.jpg,No-Anomaly
625.jpg,Offline-Module
10527.jpg,No-Anomaly
3504.jpg,Shadowing
11080.jpg,No-Anomaly
1133.jpg,Diode
