img_id,label
10128,No-Anomaly
7938,Hot-Spot-Multi
7523,Cracking
6502,Cell
2758,Shadowing
1049,Diode
11923,No-Anomaly
4265,Cell-Multi
4401,Cell-Multi
6768,Hot-Spot
9668,Vegetation
19415,No-Anomaly
2490,Diode
19051,No-Anomaly
6192,Cell
18069,No-Anomaly
181,Offline-Module
18641,No-Anomaly
2944,Shadowing
1311,Diode
18580,No-Anomaly
10785,No-Anomaly
426,Offline-Module
3459,Shadowing
16018,No-Anomaly
660,Offline-Module
8270,Soiling
10195,No-Anomaly
8778,Vegetation
11239,No-Anomaly
9355,Vegetation
14326,No-Anomaly
5972,Cell
18962,No-Anomaly
4212,Cell-Multi
6429,Cell
7910,Cracking
14830,No-Anomaly
13747,No-Anomaly
18399,No-Anomaly
6490,Cell
15959,No-Anomaly
10361,No-Anomaly
4716,Cell-Multi
12861,No-Anomaly
3806,Cell-Multi
16147,No-Anomaly
5186,Cell
18055,No-Anomaly
16952,No-Anomaly
13696,No-Anomaly
17804,No-Anomaly
8088,Hot-Spot-Multi
10217,No-Anomaly
2210,Diode
18749,No-Anomaly
8850,Vegetation
7491,Cracking
19791,No-Anomaly
12546,No-Anomaly
18277,No-Anomaly
7003,Cracking
2485,Diode
15716,No-Anomaly
17316,No-Anomaly
15216,No-Anomaly
11781,No-Anomaly
3182,Shadowing
7486,Cracking
17285,No-Anomaly
10450,No-Anomaly
2608,Shadowing
14624,No-Anomaly
2203,Diode
15056,No-Anomaly
8336,Soiling
3115,Shadowing
15511,No-Anomaly
10014,No-Anomaly
11136,No-Anomaly
5976,Cell
18840,No-Anomaly
6695,Cell
8405,Vegetation
19028,No-Anomaly
2283,Diode
4133,Cell-Multi
13740,No-Anomaly
11634,No-Anomaly
18633,No-Anomaly
54,Offline-Module
9962,Vegetation
5675,Cell
13757,No-Anomaly
19615,No-Anomaly
7246,Cracking
15228,No-Anomaly
4134,Cell-Multi
10330,No-Anomaly
11574,No-Anomaly
4642,Cell-Multi
10226,No-Anomaly
1468,Diode
3133,Shadowing
10740,No-Anomaly
1307,Diode
17662,No-Anomaly
3371,Shadowing
8140,Hot-Spot-Multi
17926,No-Anomaly
17969,No-Anomaly
3069,Shadowing
12227,No-Anomaly
3887,Cell-Multi
19017,No-Anomaly
15116,No-Anomaly
10845,No-Anomaly
12629,No-Anomaly
2144,Diode
7186,Cracking
12934,No-Anomaly
2405,Diode
18859,No-Anomaly
17931,No-Anomaly
11006,No-Anomaly
15529,No-Anomaly
2435,Diode
2561,Shadowing
8752,Vegetation
5139,Cell
3215,Shadowing
9792,Vegetation
2258,Diode
2901,Shadowing
18942,No-Anomaly
7598,Cracking
17120,No-Anomaly
5531,Cell
15712,No-Anomaly
11242,No-Anomaly
7673,Cracking
316,Offline-Module
7242,Cracking
14815,No-Anomaly
18861,No-Anomaly
15303,No-Anomaly
4506,Cell-Multi
6939,Hot-Spot
9321,Vegetation
3754,Cell-Multi
15181,No-Anomaly
1245,Diode
8662,Vegetation
15801,No-Anomaly
8900,Vegetation
8274,Soiling
6232,Cell
5821,Cell
9045,Vegetation
18334,No-Anomaly
3510,Shadowing
14231,No-Anomaly
2980,Shadowing
12890,No-Anomaly
7261,Cracking
6103,Cell
5890,Cell
8376,Vegetation
6404,Cell
8799,Vegetation
3443,Shadowing
5988,Cell
3773,Cell-Multi
17911,No-Anomaly
12942,No-Anomaly
19176,No-Anomaly
1057,Diode
9430,Vegetation
16565,No-Anomaly
4773,Cell-Multi
19133,No-Anomaly
16424,No-Anomaly
15742,No-Anomaly
5711,Cell
13051,No-Anomaly
6785,Hot-Spot
12130,No-Anomaly
10928,No-Anomaly
5808,Cell
5467,Cell
2122,Diode
14491,No-Anomaly
15142,No-Anomaly
1074,Diode
6677,Cell
8389,Vegetation
9245,Vegetation
6091,Cell
16727,No-Anomaly
14837,No-Anomaly
16899,No-Anomaly
3581,Cell-Multi
4976,Cell
11693,No-Anomaly
12575,No-Anomaly
11046,No-Anomaly
5263,Cell
7025,Cracking
3129,Shadowing
3096,Shadowing
6210,Cell
6999,Cracking
18083,No-Anomaly
1348,Diode
18518,No-Anomaly
3085,Shadowing
17714,No-Anomaly
15389,No-Anomaly
4402,Cell-Multi
1641,Diode
10084,No-Anomaly
18001,No-Anomaly
6234,Cell
16640,No-Anomaly
3721,Cell-Multi
8828,Vegetation
7130,Cracking
10171,No-Anomaly
10935,No-Anomaly
1777,Diode
17362,No-Anomaly
15262,No-Anomaly
17475,No-Anomaly
6974,Cracking
18450,No-Anomaly
8898,Vegetation
7304,Cracking
19616,No-Anomaly
2557,Shadowing
11034,No-Anomaly
8469,Vegetation
14857,No-Anomaly
9241,Vegetation
10433,No-Anomaly
12610,No-Anomaly
5911,Cell
2328,Diode
1141,Diode
992,Diode-Multi
2146,Diode
19534,No-Anomaly
15657,No-Anomaly
632,Offline-Module
8465,Vegetation
18842,No-Anomaly
15668,No-Anomaly
12303,No-Anomaly
637,Offline-Module
14413,No-Anomaly
11197,No-Anomaly
19380,No-Anomaly
8338,Soiling
8668,Vegetation
7129,Cracking
2342,Diode
1692,Diode
6300,Cell
4715,Cell-Multi
600,Offline-Module
10722,No-Anomaly
4093,Cell-Multi
12462,No-Anomaly
11200,No-Anomaly
14753,No-Anomaly
19606,No-Anomaly
19218,No-Anomaly
16017,No-Anomaly
1783,Diode
672,Offline-Module
4365,Cell-Multi
6486,Cell
297,Offline-Module
15780,No-Anomaly
1217,Diode
15283,No-Anomaly
17905,No-Anomaly
14478,No-Anomaly
19286,No-Anomaly
12921,No-Anomaly
6401,Cell
7562,Cracking
9571,Vegetation
8228,Soiling
2924,Shadowing
18077,No-Anomaly
9704,Vegetation
18443,No-Anomaly
6754,Hot-Spot
15178,No-Anomaly
2194,Diode
10612,No-Anomaly
15662,No-Anomaly
16543,No-Anomaly
14975,No-Anomaly
15874,No-Anomaly
17748,No-Anomaly
17511,No-Anomaly
12328,No-Anomaly
938,Diode-Multi
2913,Shadowing
1292,Diode
11939,No-Anomaly
14443,No-Anomaly
17295,No-Anomaly
9096,Vegetation
15302,No-Anomaly
5344,Cell
12757,No-Anomaly
13620,No-Anomaly
17093,No-Anomaly
10663,No-Anomaly
17732,No-Anomaly
9986,Vegetation
13628,No-Anomaly
15311,No-Anomaly
304,Offline-Module
8507,Vegetation
9987,Vegetation
16123,No-Anomaly
12844,No-Anomaly
10250,No-Anomaly
3198,Shadowing
1784,Diode
13457,No-Anomaly
14683,No-Anomaly
3145,Shadowing
81,Offline-Module
8396,Vegetation
9210,Vegetation
15322,No-Anomaly
19974,No-Anomaly
1054,Diode
19381,No-Anomaly
12598,No-Anomaly
19810,No-Anomaly
9923,Vegetation
16994,No-Anomaly
12946,No-Anomaly
6505,Cell
13194,No-Anomaly
13974,No-Anomaly
7937,Hot-Spot-Multi
10114,No-Anomaly
4279,Cell-Multi
11921,No-Anomaly
7183,Cracking
13399,No-Anomaly
17889,No-Anomaly
5995,Cell
119,Offline-Module
9351,Vegetation
8514,Vegetation
8391,Vegetation
5934,Cell
13779,No-Anomaly
11245,No-Anomaly
19116,No-Anomaly
243,Offline-Module
4877,Cell
6161,Cell
250,Offline-Module
15962,No-Anomaly
15258,No-Anomaly
11953,No-Anomaly
9885,Vegetation
19742,No-Anomaly
11346,No-Anomaly
19650,No-Anomaly
15562,No-Anomaly
13664,No-Anomaly
14201,No-Anomaly
7921,Hot-Spot-Multi
6672,Cell
12881,No-Anomaly
9093,Vegetation
3786,Cell-Multi
13110,No-Anomaly
1016,Diode
8440,Vegetation
15573,No-Anomaly
4825,Cell-Multi
11487,No-Anomaly
345,Offline-Module
6601,Cell
11074,No-Anomaly
2204,Diode
11158,No-Anomaly
7665,Cracking
6010,Cell
13554,No-Anomaly
8954,Vegetation
11964,No-Anomaly
12361,No-Anomaly
1082,Diode
9832,Vegetation
4491,Cell-Multi
17377,No-Anomaly
3499,Shadowing
13988,No-Anomaly
14707,No-Anomaly
15708,No-Anomaly
13834,No-Anomaly
5217,Cell
6512,Cell
3619,Cell-Multi
13377,No-Anomaly
4797,Cell-Multi
18619,No-Anomaly
1449,Diode
12163,No-Anomaly
14288,No-Anomaly
11322,No-Anomaly
17123,No-Anomaly
11018,No-Anomaly
11655,No-Anomaly
10068,No-Anomaly
7991,Hot-Spot-Multi
1914,Diode
5550,Cell
12774,No-Anomaly
6185,Cell
8370,Vegetation
2523,Shadowing
15429,No-Anomaly
7391,Cracking
19969,No-Anomaly
12578,No-Anomaly
1189,Diode
12864,No-Anomaly
17415,No-Anomaly
15353,No-Anomaly
3135,Shadowing
8149,Hot-Spot-Multi
2962,Shadowing
16801,No-Anomaly
11252,No-Anomaly
11342,No-Anomaly
14306,No-Anomaly
2487,Diode
14411,No-Anomaly
7678,Cracking
18466,No-Anomaly
1266,Diode
13791,No-Anomaly
10048,No-Anomaly
11297,No-Anomaly
15818,No-Anomaly
7081,Cracking
18541,No-Anomaly
1516,Diode
9343,Vegetation
13215,No-Anomaly
19788,No-Anomaly
4296,Cell-Multi
4564,Cell-Multi
17544,No-Anomaly
12759,No-Anomaly
3807,Cell-Multi
12988,No-Anomaly
8602,Vegetation
7951,Hot-Spot-Multi
9042,Vegetation
5083,Cell
12878,No-Anomaly
6656,Cell
13145,No-Anomaly
1135,Diode
12213,No-Anomaly
5182,Cell
9663,Vegetation
13842,No-Anomaly
14256,No-Anomaly
5064,Cell
19851,No-Anomaly
17813,No-Anomaly
18645,No-Anomaly
13337,No-Anomaly
13930,No-Anomaly
13393,No-Anomaly
14105,No-Anomaly
9933,Vegetation
5298,Cell
14215,No-Anomaly
1683,Diode
2739,Shadowing
4690,Cell-Multi
12350,No-Anomaly
19737,No-Anomaly
8240,Soiling
9995,Vegetation
9104,Vegetation
14589,No-Anomaly
1553,Diode
10839,No-Anomaly
17418,No-Anomaly
17010,No-Anomaly
18313,No-Anomaly
1421,Diode
10819,No-Anomaly
519,Offline-Module
16523,No-Anomaly
16683,No-Anomaly
15583,No-Anomaly
19418,No-Anomaly
13933,No-Anomaly
19191,No-Anomaly
7061,Cracking
19657,No-Anomaly
18644,No-Anomaly
4169,Cell-Multi
3346,Shadowing
5523,Cell
1387,Diode
7924,Hot-Spot-Multi
5512,Cell
12520,No-Anomaly
3383,Shadowing
3221,Shadowing
11467,No-Anomaly
19686,No-Anomaly
10300,No-Anomaly
15208,No-Anomaly
13709,No-Anomaly
8341,Soiling
7463,Cracking
6909,Hot-Spot
9945,Vegetation
1448,Diode
5908,Cell
8345,Soiling
11601,No-Anomaly
5318,Cell
11852,No-Anomaly
16298,No-Anomaly
11221,No-Anomaly
3546,Shadowing
11021,No-Anomaly
11891,No-Anomaly
19354,No-Anomaly
522,Offline-Module
6608,Cell
15132,No-Anomaly
6193,Cell
7233,Cracking
16378,No-Anomaly
7606,Cracking
3119,Shadowing
15,Offline-Module
11718,No-Anomaly
18011,No-Anomaly
1456,Diode
3557,Cell-Multi
5990,Cell
10222,No-Anomaly
19914,No-Anomaly
6978,Cracking
15195,No-Anomaly
1063,Diode
4069,Cell-Multi
10461,No-Anomaly
13412,No-Anomaly
3211,Shadowing
18057,No-Anomaly
12813,No-Anomaly
12004,No-Anomaly
12422,No-Anomaly
15023,No-Anomaly
17512,No-Anomaly
9565,Vegetation
7873,Cracking
16496,No-Anomaly
3863,Cell-Multi
9813,Vegetation
3928,Cell-Multi
2855,Shadowing
18051,No-Anomaly
13669,No-Anomaly
15995,No-Anomaly
18873,No-Anomaly
17053,No-Anomaly
2456,Diode
6717,Cell
16986,No-Anomaly
12741,No-Anomaly
13927,No-Anomaly
1932,Diode
16896,No-Anomaly
1341,Diode
4107,Cell-Multi
12991,No-Anomaly
8775,Vegetation
15719,No-Anomaly
3486,Shadowing
16480,No-Anomaly
17897,No-Anomaly
10379,No-Anomaly
16724,No-Anomaly
18052,No-Anomaly
18467,No-Anomaly
1204,Diode
13228,No-Anomaly
13941,No-Anomaly
12603,No-Anomaly
6783,Hot-Spot
9178,Vegetation
11838,No-Anomaly
8512,Vegetation
10919,No-Anomaly
7434,Cracking
2065,Diode
5154,Cell
14439,No-Anomaly
15305,No-Anomaly
9493,Vegetation
16990,No-Anomaly
7875,Cracking
14770,No-Anomaly
12505,No-Anomaly
13244,No-Anomaly
18212,No-Anomaly
5857,Cell
16909,No-Anomaly
15215,No-Anomaly
5718,Cell
3092,Shadowing
184,Offline-Module
16277,No-Anomaly
5893,Cell
16532,No-Anomaly
75,Offline-Module
10599,No-Anomaly
13579,No-Anomaly
11820,No-Anomaly
9311,Vegetation
671,Offline-Module
4988,Cell
1455,Diode
5774,Cell
11333,No-Anomaly
8172,Soiling
11827,No-Anomaly
11273,No-Anomaly
6370,Cell
13375,No-Anomaly
7340,Cracking
15398,No-Anomaly
12945,No-Anomaly
4569,Cell-Multi
9319,Vegetation
19954,No-Anomaly
18874,No-Anomaly
7546,Cracking
19402,No-Anomaly
8451,Vegetation
8633,Vegetation
7785,Cracking
13374,No-Anomaly
19858,No-Anomaly
2447,Diode
19988,No-Anomaly
4141,Cell-Multi
16291,No-Anomaly
5096,Cell
2693,Shadowing
18017,No-Anomaly
12185,No-Anomaly
3110,Shadowing
13188,No-Anomaly
17576,No-Anomaly
6837,Hot-Spot
10875,No-Anomaly
12008,No-Anomaly
14220,No-Anomaly
12814,No-Anomaly
3570,Cell-Multi
9900,Vegetation
8197,Soiling
6432,Cell
657,Offline-Module
15256,No-Anomaly
13290,No-Anomaly
7329,Cracking
11542,No-Anomaly
1862,Diode
9253,Vegetation
2491,Diode
8179,Soiling
17228,No-Anomaly
10688,No-Anomaly
1859,Diode
7509,Cracking
16341,No-Anomaly
13578,No-Anomaly
16004,No-Anomaly
8836,Vegetation
302,Offline-Module
18762,No-Anomaly
14900,No-Anomaly
14479,No-Anomaly
5868,Cell
16214,No-Anomaly
4944,Cell
3524,Shadowing
10982,No-Anomaly
12090,No-Anomaly
1025,Diode
7664,Cracking
8527,Vegetation
7572,Cracking
5998,Cell
15188,No-Anomaly
16835,No-Anomaly
4980,Cell
19744,No-Anomaly
11415,No-Anomaly
10637,No-Anomaly
13840,No-Anomaly
14045,No-Anomaly
16719,No-Anomaly
8933,Vegetation
7023,Cracking
18098,No-Anomaly
3801,Cell-Multi
8265,Soiling
8340,Soiling
14308,No-Anomaly
8436,Vegetation
18631,No-Anomaly
19493,No-Anomaly
5806,Cell
12789,No-Anomaly
3463,Shadowing
6256,Cell
3396,Shadowing
17449,No-Anomaly
19840,No-Anomaly
6163,Cell
19727,No-Anomaly
19862,No-Anomaly
7502,Cracking
12956,No-Anomaly
15176,No-Anomaly
17146,No-Anomaly
11792,No-Anomaly
15439,No-Anomaly
8608,Vegetation
19693,No-Anomaly
1687,Diode
10247,No-Anomaly
6326,Cell
1265,Diode
1675,Diode
15203,No-Anomaly
7666,Cracking
3962,Cell-Multi
9010,Vegetation
1368,Diode
18426,No-Anomaly
10727,No-Anomaly
10732,No-Anomaly
17462,No-Anomaly
8349,Soiling
14246,No-Anomaly
18217,No-Anomaly
18210,No-Anomaly
5873,Cell
4328,Cell-Multi
10618,No-Anomaly
11375,No-Anomaly
19438,No-Anomaly
9800,Vegetation
10800,No-Anomaly
6922,Hot-Spot
7315,Cracking
19215,No-Anomaly
3154,Shadowing
9542,Vegetation
4017,Cell-Multi
13829,No-Anomaly
19208,No-Anomaly
17048,No-Anomaly
9046,Vegetation
335,Offline-Module
2826,Shadowing
8748,Vegetation
14104,No-Anomaly
15537,No-Anomaly
14380,No-Anomaly
10365,No-Anomaly
11884,No-Anomaly
7207,Cracking
12320,No-Anomaly
133,Offline-Module
11622,No-Anomaly
10012,No-Anomaly
15720,No-Anomaly
5202,Cell
13970,No-Anomaly
9412,Vegetation
1320,Diode
18133,No-Anomaly
15766,No-Anomaly
8174,Soiling
19589,No-Anomaly
13305,No-Anomaly
8854,Vegetation
11673,No-Anomaly
3537,Shadowing
4840,Cell-Multi
4562,Cell-Multi
16415,No-Anomaly
2205,Diode
2286,Diode
5065,Cell
11845,No-Anomaly
12738,No-Anomaly
18369,No-Anomaly
9630,Vegetation
13822,No-Anomaly
8685,Vegetation
13843,No-Anomaly
4689,Cell-Multi
11823,No-Anomaly
3719,Cell-Multi
10062,No-Anomaly
7134,Cracking
19287,No-Anomaly
11353,No-Anomaly
6459,Cell
10420,No-Anomaly
19231,No-Anomaly
15653,No-Anomaly
19776,No-Anomaly
2718,Shadowing
17585,No-Anomaly
7736,Cracking
4791,Cell-Multi
587,Offline-Module
1430,Diode
11740,No-Anomaly
2881,Shadowing
1369,Diode
688,Offline-Module
6715,Cell
15710,No-Anomaly
1271,Diode
5826,Cell
15797,No-Anomaly
7480,Cracking
1128,Diode
2056,Diode
18107,No-Anomaly
14162,No-Anomaly
969,Diode-Multi
4777,Cell-Multi
6069,Cell
10338,No-Anomaly
13431,No-Anomaly
10283,No-Anomaly
257,Offline-Module
265,Offline-Module
10901,No-Anomaly
11032,No-Anomaly
17338,No-Anomaly
10607,No-Anomaly
9070,Vegetation
12990,No-Anomaly
17071,No-Anomaly
8565,Vegetation
9298,Vegetation
14435,No-Anomaly
17573,No-Anomaly
15204,No-Anomaly
17954,No-Anomaly
2863,Shadowing
12343,No-Anomaly
15541,No-Anomaly
4162,Cell-Multi
452,Offline-Module
6550,Cell
2015,Diode
17767,No-Anomaly
9374,Vegetation
7559,Cracking
1900,Diode
2119,Diode
7039,Cracking
19712,No-Anomaly
17785,No-Anomaly
12728,No-Anomaly
5885,Cell
16907,No-Anomaly
4421,Cell-Multi
18263,No-Anomaly
9127,Vegetation
18608,No-Anomaly
9313,Vegetation
6731,Hot-Spot
7217,Cracking
14022,No-Anomaly
6733,Hot-Spot
1829,Diode
3256,Shadowing
10960,No-Anomaly
11775,No-Anomaly
479,Offline-Module
16111,No-Anomaly
5905,Cell
18314,No-Anomaly
10495,No-Anomaly
12316,No-Anomaly
7620,Cracking
361,Offline-Module
1951,Diode
9488,Vegetation
5193,Cell
7739,Cracking
19160,No-Anomaly
15961,No-Anomaly
9469,Vegetation
5149,Cell
14414,No-Anomaly
15192,No-Anomaly
292,Offline-Module
10755,No-Anomaly
14963,No-Anomaly
17535,No-Anomaly
17365,No-Anomaly
12504,No-Anomaly
3580,Cell-Multi
1351,Diode
16168,No-Anomaly
12940,No-Anomaly
5409,Cell
7866,Cracking
15167,No-Anomaly
3868,Cell-Multi
8487,Vegetation
3926,Cell-Multi
18099,No-Anomaly
5350,Cell
18290,No-Anomaly
11834,No-Anomaly
10730,No-Anomaly
15121,No-Anomaly
1106,Diode
15377,No-Anomaly
18523,No-Anomaly
2798,Shadowing
3282,Shadowing
7982,Hot-Spot-Multi
16046,No-Anomaly
13116,No-Anomaly
9961,Vegetation
15846,No-Anomaly
18551,No-Anomaly
10414,No-Anomaly
11286,No-Anomaly
15639,No-Anomaly
9972,Vegetation
5623,Cell
6313,Cell
3618,Cell-Multi
6472,Cell
197,Offline-Module
15388,No-Anomaly
7010,Cracking
2082,Diode
5786,Cell
18657,No-Anomaly
6712,Cell
6252,Cell
12859,No-Anomaly
14312,No-Anomaly
14991,No-Anomaly
3163,Shadowing
5207,Cell
5707,Cell
17564,No-Anomaly
3838,Cell-Multi
14242,No-Anomaly
10196,No-Anomaly
17406,No-Anomaly
6485,Cell
10324,No-Anomaly
200,Offline-Module
5783,Cell
11118,No-Anomaly
10204,No-Anomaly
19834,No-Anomaly
18374,No-Anomaly
16802,No-Anomaly
12860,No-Anomaly
4852,Cell
17167,No-Anomaly
19101,No-Anomaly
19904,No-Anomaly
695,Offline-Module
4585,Cell-Multi
16009,No-Anomaly
11099,No-Anomaly
12026,No-Anomaly
12529,No-Anomaly
4052,Cell-Multi
3899,Cell-Multi
2574,Shadowing
6157,Cell
9576,Vegetation
14596,No-Anomaly
4271,Cell-Multi
6495,Cell
2938,Shadowing
10266,No-Anomaly
9485,Vegetation
11189,No-Anomaly
3046,Shadowing
3283,Shadowing
9375,Vegetation
17869,No-Anomaly
4684,Cell-Multi
6099,Cell
7555,Cracking
16583,No-Anomaly
19463,No-Anomaly
14999,No-Anomaly
199,Offline-Module
8468,Vegetation
4602,Cell-Multi
12983,No-Anomaly
16158,No-Anomaly
5871,Cell
8622,Vegetation
12989,No-Anomaly
2882,Shadowing
15596,No-Anomaly
9839,Vegetation
925,Diode-Multi
14871,No-Anomaly
14266,No-Anomaly
15225,No-Anomaly
3072,Shadowing
4925,Cell
14870,No-Anomaly
15912,No-Anomaly
14817,No-Anomaly
1879,Diode
17466,No-Anomaly
18809,No-Anomaly
3508,Shadowing
15808,No-Anomaly
16897,No-Anomaly
1281,Diode
13274,No-Anomaly
10158,No-Anomaly
16364,No-Anomaly
5736,Cell
17468,No-Anomaly
1465,Diode
14723,No-Anomaly
10475,No-Anomaly
14488,No-Anomaly
15847,No-Anomaly
9847,Vegetation
2600,Shadowing
12082,No-Anomaly
1006,Diode
13242,No-Anomaly
10717,No-Anomaly
18513,No-Anomaly
15488,No-Anomaly
9463,Vegetation
8432,Vegetation
1476,Diode
1756,Diode
5942,Cell
2821,Shadowing
12596,No-Anomaly
6220,Cell
11899,No-Anomaly
15805,No-Anomaly
16681,No-Anomaly
19151,No-Anomaly
8700,Vegetation
84,Offline-Module
4573,Cell-Multi
14781,No-Anomaly
17964,No-Anomaly
17579,No-Anomaly
17173,No-Anomaly
4940,Cell
12103,No-Anomaly
3407,Shadowing
8987,Vegetation
9829,Vegetation
102,Offline-Module
13662,No-Anomaly
3033,Shadowing
18068,No-Anomaly
14846,No-Anomaly
3130,Shadowing
16348,No-Anomaly
8753,Vegetation
10391,No-Anomaly
13166,No-Anomaly
3039,Shadowing
10890,No-Anomaly
19927,No-Anomaly
9410,Vegetation
16868,No-Anomaly
19947,No-Anomaly
8732,Vegetation
14538,No-Anomaly
17257,No-Anomaly
14111,No-Anomaly
11716,No-Anomaly
18636,No-Anomaly
13685,No-Anomaly
13044,No-Anomaly
8637,Vegetation
6076,Cell
3823,Cell-Multi
5696,Cell
12845,No-Anomaly
14391,No-Anomaly
18228,No-Anomaly
12623,No-Anomaly
19524,No-Anomaly
18801,No-Anomaly
633,Offline-Module
15485,No-Anomaly
11972,No-Anomaly
10898,No-Anomaly
359,Offline-Module
9810,Vegetation
4425,Cell-Multi
15990,No-Anomaly
1440,Diode
19355,No-Anomaly
19518,No-Anomaly
7301,Cracking
9549,Vegetation
1149,Diode
1256,Diode
3992,Cell-Multi
622,Offline-Module
18892,No-Anomaly
2398,Diode
15689,No-Anomaly
12802,No-Anomaly
8777,Vegetation
5919,Cell
8394,Vegetation
17328,No-Anomaly
16143,No-Anomaly
14431,No-Anomaly
1706,Diode
6790,Hot-Spot
13994,No-Anomaly
2168,Diode
11017,No-Anomaly
14055,No-Anomaly
17376,No-Anomaly
7868,Cracking
7755,Cracking
17281,No-Anomaly
11251,No-Anomaly
11016,No-Anomaly
17197,No-Anomaly
16836,No-Anomaly
7765,Cracking
5590,Cell
10821,No-Anomaly
4255,Cell-Multi
14389,No-Anomaly
4111,Cell-Multi
13560,No-Anomaly
5047,Cell
10440,No-Anomaly
15703,No-Anomaly
2753,Shadowing
17746,No-Anomaly
10784,No-Anomaly
15002,No-Anomaly
10087,No-Anomaly
10119,No-Anomaly
13107,No-Anomaly
15799,No-Anomaly
14706,No-Anomaly
11124,No-Anomaly
7930,Hot-Spot-Multi
1148,Diode
6547,Cell
14426,No-Anomaly
12071,No-Anomaly
15159,No-Anomaly
3774,Cell-Multi
15190,No-Anomaly
8188,Soiling
1759,Diode
10759,No-Anomaly
19917,No-Anomaly
13094,No-Anomaly
2183,Diode
13572,No-Anomaly
19777,No-Anomaly
15561,No-Anomaly
12448,No-Anomaly
120,Offline-Module
16916,No-Anomaly
8485,Vegetation
9390,Vegetation
5082,Cell
6399,Cell
18463,No-Anomaly
14522,No-Anomaly
8285,Soiling
11817,No-Anomaly
8810,Vegetation
1967,Diode
5448,Cell
3707,Cell-Multi
1817,Diode
9061,Vegetation
12612,No-Anomaly
9677,Vegetation
7601,Cracking
6475,Cell
6953,Hot-Spot
3304,Shadowing
19741,No-Anomaly
514,Offline-Module
4829,Cell-Multi
16188,No-Anomaly
4631,Cell-Multi
5479,Cell
6226,Cell
115,Offline-Module
10577,No-Anomaly
9492,Vegetation
7104,Cracking
11927,No-Anomaly
11815,No-Anomaly
1801,Diode
19370,No-Anomaly
13776,No-Anomaly
14322,No-Anomaly
1290,Diode
871,Diode-Multi
10137,No-Anomaly
8544,Vegetation
14385,No-Anomaly
9056,Vegetation
5541,Cell
11190,No-Anomaly
1389,Diode
15375,No-Anomaly
15218,No-Anomaly
3659,Cell-Multi
5643,Cell
10484,No-Anomaly
14082,No-Anomaly
15273,No-Anomaly
4756,Cell-Multi
14894,No-Anomaly
10003,No-Anomaly
9445,Vegetation
14109,No-Anomaly
